Accession,FullDescription,Description,Species,Biological Process,Cellular Component,Molecular Function,WikiPathways,Reactome Pathways,KEGG Pathways
Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,Heterogeneous nuclear ribonucleoprotein U,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;transport;developmental processes;other biological processes,cytoskeleton;nucleus;other cell component,cytoskeletal activity;nucleic acid binding activity;other molecular function,mRNA processing; lncRNA in canonical Wnt signaling and colorectal cancer,mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA,Spliceosome
P46781,40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3,40S ribosomal protein S9,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;transport;other biological processes,cytosol;translational apparatus;nucleus;other cell component,nucleic acid binding activity;other molecular function,Cytoplasmic ribosomal proteins,"Regulation of expression of SLITs and ROBOs; SRP-dependent cotranslational protein targeting to membrane; Peptide chain elongation; L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; Formation of a pool of free 40S subunits; Formation of the ternary complex, and subsequently, the 43S complex; Ribosomal scanning and start codon recognition; GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; rRNA modification in the nucleus and cytosol; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Selenocysteine synthesis; Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",Ribosome; Coronavirus disease
Q9BWJ5,Splicing factor 3B subunit 5 OS=Homo sapiens OX=9606 GN=SF3B5 PE=1 SV=1,Splicing factor 3B subunit 5,Homo sapiens,RNA metabolism OR transcription;other metabolic processes,nucleus,nucleic acid binding activity;other molecular function,mRNA processing,mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway,Spliceosome
P12724,Eosinophil cationic protein OS=Homo sapiens OX=9606 GN=RNASE3 PE=1 SV=2,Eosinophil cationic protein,Homo sapiens,RNA metabolism OR transcription;other metabolic processes;stress response;transport;other biological processes,non-structural extracellular;other cytoplasmic organelle,nucleic acid binding activity;other molecular function,,Neutrophil degranulation; Antimicrobial peptides,Asthma
P04114,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2,Apolipoprotein B-100,Homo sapiens,cell organization and biogenesis;protein metabolism;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;ER/Golgi;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;transporter activity;other molecular function,Selenium micronutrient network; Vitamin B12 metabolism; Folate metabolism; Statin inhibition of cholesterol production; Male infertility; Familial hyperlipidemia type 2,Cell surface interactions at the vascular wall; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Retinoid metabolism and transport; Chylomicron assembly; Chylomicron remodeling; Cargo recognition for clathrin-mediated endocytosis; Scavenging by Class B Receptors; Regulation of TLR by endogenous ligand; Heme signaling; LDL clearance; Chylomicron clearance; Scavenging by Class A Receptors; VLDL assembly; VLDL clearance; Scavenging by Class F Receptors; Scavenging by Class H Receptors; Platelet sensitization by LDL; LDL remodeling,Fat digestion and absorption; Vitamin digestion and absorption; Cholesterol metabolism; Lipid and atherosclerosis
C9JHP4,Eukaryotic translation initiation factor 3 subunit L (Fragment) OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1,Eukaryotic translation initiation factor 3 subunit L (Fragment),Homo sapiens,protein metabolism;other metabolic processes,other cell component,nucleic acid binding activity,,,
P19823,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2,Inter-alpha-trypsin inhibitor heavy chain H2,Homo sapiens,protein metabolism;other metabolic processes;other biological processes,non-structural extracellular;ER/Golgi,enzyme regulator activity,,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation,
Q9UQ35,Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2,Serine/arginine repetitive matrix protein 2,Homo sapiens,RNA metabolism OR transcription;other metabolic processes,nucleus,nucleic acid binding activity;other molecular function,,mRNA Splicing - Major Pathway,
Q08211,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,ATP-dependent RNA helicase A,Homo sapiens,cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;stress response;transport;other biological processes,cytosol;cytoskeleton;translational apparatus;nucleus;other cell component,nucleic acid binding activity;other molecular function,MECP2 and associated Rett syndrome; mRNA processing,mRNA Splicing - Major Pathway; RIP-mediated NFkB activation via ZBP1; DEx/H-box helicases activate type I IFN and inflammatory cytokines production,
P54920,Alpha-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPA PE=1 SV=3,Alpha-soluble NSF attachment protein,Homo sapiens,cell-cell signaling;cell organization and biogenesis;transport;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component,other molecular function,Synaptic vesicle pathway; VEGFA-VEGFR2 signaling pathway,COPI-dependent Golgi-to-ER retrograde traffic; COPI-mediated anterograde transport; COPII-mediated vesicle transport; Golgi Associated Vesicle Biogenesis; Intra-Golgi traffic; Retrograde transport at the Trans-Golgi-Network,Synaptic vesicle cycle
G5E972,"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=1","Lamina-associated polypeptide 2, isoforms beta/gamma",Homo sapiens,,other membranes;nucleus,nucleic acid binding activity,Envelope proteins and their potential roles in EDMD physiopathology; Overlap between signal transduction pathways contributing to LMNA laminopathies,,
A0A0A0MS15,Immunoglobulin heavy variable 3-49 OS=Homo sapiens OX=9606 GN=IGHV3-49 PE=3 SV=1,Immunoglobulin heavy variable 3-49,Homo sapiens,cell organization and biogenesis;stress response;transport;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes,signal transduction activity or receptor binding;other molecular function,,,
Q9Y295,Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=DRG1 PE=1 SV=1,Developmentally-regulated GTP-binding protein 1,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes,cytosol;nucleus;other cell component,cytoskeletal activity;other molecular function,,,
Q9Y5K6,CD2-associated protein OS=Homo sapiens OX=9606 GN=CD2AP PE=1 SV=1,CD2-associated protein,Homo sapiens,cell adhesion;cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,Primary focal segmental glomerulosclerosis (FSGS); Nephrotic syndrome; Genes controlling nephrogenesis,Nephrin family interactions,Bacterial invasion of epithelial cells
P27708,CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3,CAD protein,Homo sapiens,protein metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes,cytosol;nucleus;other cell component,kinase activity;other molecular function,Endothelin pathways; Amino acid metabolism; Pyrimidine metabolism,Pyrimidine biosynthesis,"Pyrimidine metabolism; Alanine, aspartate and glutamate metabolism; Metabolic pathways; Biosynthesis of cofactors"
P14868,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2","Aspartate--tRNA ligase, cytoplasmic",Homo sapiens,cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes,cytosol;other cell component,other molecular function,Alanine and aspartate metabolism,Cytosolic tRNA aminoacylation; Selenoamino acid metabolism,Aminoacyl-tRNA biosynthesis
P35637,RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,RNA-binding protein FUS,Homo sapiens,cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus,nucleic acid binding activity;other molecular function,MECP2 and associated Rett syndrome; mRNA processing,mRNA Splicing - Major Pathway,mRNA surveillance pathway; Spliceosome; Amyotrophic lateral sclerosis; Pathways of neurodegeneration; Transcriptional misregulation in cancer
E9PQ75,Vascular non-inflammatory molecule 2 OS=Homo sapiens OX=9606 GN=VNN2 PE=1 SV=1,Vascular non-inflammatory molecule 2,Homo sapiens,other metabolic processes,,,,,
Q9BXP5,Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1,Serrate RNA effector molecule homolog,Homo sapiens,RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,,mRNA Splicing - Major Pathway; RNA polymerase II transcribes snRNA genes,
P30040,Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4,Endoplasmic reticulum resident protein 29,Homo sapiens,protein metabolism;other metabolic processes;transport;other biological processes,ER/Golgi;other cell component,other molecular function,,,Protein processing in endoplasmic reticulum
P31942,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,Heterogeneous nuclear ribonucleoprotein H3,Homo sapiens,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus;other cell component,,,,
P48047,"ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1","ATP synthase subunit O, mitochondrial",Homo sapiens,cell organization and biogenesis;other metabolic processes;transport,plasma membrane;other membranes;mitochondrion,transporter activity,Electron transport chain: OXPHOS system in mitochondria; 7q11.23 copy number variation syndrome; Oxidative phosphorylation,Cristae formation; Formation of ATP by chemiosmotic coupling,Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration; Chemical carcinogenesis; Diabetic cardiomyopathy
P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens OX=9606 GN=GNB2 PE=1 SV=3,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,Homo sapiens,signal transduction;other biological processes,plasma membrane;other membranes;cytosol;other cell component,other molecular function,Corticotropin-releasing hormone signaling pathway; Myometrial relaxation and contraction pathways; G protein signaling pathways; Chemokine signaling pathway; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; PI3K-Akt signaling pathway; Ras signaling; Calcium regulation in cardiac cells,"G alpha (i) signalling events; G alpha (z) signalling events; Extra-nuclear estrogen signaling; Glucagon-like Peptide-1 (GLP1) regulates insulin secretion; Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; G alpha (12/13) signalling events; G alpha (q) signalling events; ADP signalling through P2Y purinoceptor 12; G alpha (s) signalling events; ADORA2B mediated anti-inflammatory cytokines production; Thrombin signalling through proteinase activated receptors (PARs); Activation of G protein gated Potassium channels; G-protein activation; G beta:gamma signalling through PI3Kgamma; Prostacyclin signalling through prostacyclin receptor; Adrenaline,noradrenaline inhibits insulin secretion; Ca2+ pathway; G beta:gamma signalling through PLC beta; ADP signalling through P2Y purinoceptor 1; Glucagon-type ligand receptors; Thromboxane signalling through TP receptor; Vasopressin regulates renal water homeostasis via Aquaporins; Presynaptic function of Kainate receptors; G beta:gamma signalling through BTK; G beta:gamma signalling through CDC42; Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits; Glucagon signaling in metabolic regulation",Ras signaling pathway; Chemokine signaling pathway; PI3K-Akt signaling pathway; Apelin signaling pathway; Circadian entrainment; Retrograde endocannabinoid signaling; Glutamatergic synapse; Cholinergic synapse; Serotonergic synapse; GABAergic synapse; Dopaminergic synapse; Relaxin signaling pathway; Morphine addiction; Alcoholism; Human cytomegalovirus infection; Kaposi sarcoma-associated herpesvirus infection; Human immunodeficiency virus 1 infection; Pathways in cancer
O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,Alpha-actinin-4,Homo sapiens,stress response;transport;signal transduction;other biological processes,non-structural extracellular;cytosol;cytoskeleton;nucleus;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;nucleic acid binding activity;other molecular function,Arrhythmogenic right ventricular cardiomyopathy; Primary focal segmental glomerulosclerosis (FSGS); Focal adhesion; Striated muscle contraction pathway; Ebola virus pathway in host; Nephrotic syndrome,Platelet degranulation ; Nephrin family interactions,Focal adhesion; Adherens junction; Tight junction; Leukocyte transendothelial migration; Regulation of actin cytoskeleton; Shigellosis; Amoebiasis; Viral carcinogenesis; Systemic lupus erythematosus
P62906,60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,60S ribosomal protein L10a,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;transport;other biological processes,cytosol;translational apparatus,other molecular function,VEGFA-VEGFR2 signaling pathway; Cytoplasmic ribosomal proteins,L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Regulation of expression of SLITs and ROBOs; Major pathway of rRNA processing in the nucleolus and cytosol; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); SRP-dependent cotranslational protein targeting to membrane; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis; Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Ribosome; Coronavirus disease
